2026-04-07 13:41:38, MOVE, v:1, k:ed@vetequals, mode:PICK
2026-04-07 13:44:10, MOVE, v:1, k:ed@vetequals, mode:BACK
2026-04-07 13:44:25, MOVE, v:1, k:ed@padroes1, mode:PICK
2026-04-07 13:46:05, MOVE, v:1, k:ed@padroes1, mode:BACK
2026-04-07 13:46:08, MOVE, v:1, k:ed@padroes2, mode:PICK
2026-04-07 13:47:59, MOVE, v:1, k:ed@padroes2, mode:BACK
2026-04-07 13:48:02, MOVE, v:1, k:ed@padroes3, mode:PICK
2026-04-07 13:49:52, MOVE, v:1, k:ed@padroes3, mode:BACK
2026-04-07 13:51:21, MOVE, v:1, k:ed@labirinto, mode:PICK
2026-04-07 13:51:27, EXEC, v:1, k:ed@labirinto, mode:FULL, rate:100, size:77
2026-04-07 13:51:28, MOVE, v:1, k:ed@labirinto, mode:BACK
